method	Ne	init	s_true	nrep	npos	npos_den	ntrue	propPos	propPos_den	propTrue	rmse
slattice	10000	0.1	0.005	1000	7	7	987	0.007	0.007	0.987	0.0187919170539942
sr	10000	0.1	0.005	1000	147	323	742	0.147	0.323	0.742	0.188407930981239
slattice	10000	0.1	0.01	1000	0	0	999	0	0	0.999	0.0234376186806134
sr	10000	0.1	0.01	1000	446	792	773	0.446	0.792	0.773	0.129938017451123
slattice	10000	0.1	0.02	1000	118	118	999	0.118	0.118	0.999	0.0300235249976554
sr	10000	0.1	0.02	1000	879	999	733	0.879	0.999	0.733	0.154927151994564
slattice	10000	0.1	0.03	1000	874	874	980	0.874	0.874	0.98	0.0430723991476905
sr	10000	0.1	0.03	1000	932	1000	696	0.932	1	0.696	0.324316707186559
slattice	10000	0.1	0.04	1000	869	869	885	0.869	0.869	0.885	0.0769072928570743
sr	10000	0.1	0.04	1000	967	1000	652	0.967	1	0.652	0.0626858748575085
slattice	10000	0.1	0	1000	55	55	945	0.055	0.055	0.945	0.0236527724946585
sr	10000	0.1	0	1000	52	119	945	0.052	0.119	0.945	0.297362399223057
slattice	10000	0.1	0.05	1000	809	809	721	0.809	0.809	0.721	0.103297823320058
sr	10000	0.1	0.05	1000	973	1000	678	0.973	1	0.678	0.0453909327737029
slattice	10000	0.1	0.06	1000	791	791	827	0.791	0.791	0.827	0.131880635960457
sr	10000	0.1	0.06	1000	991	1000	290	0.991	1	0.29	0.0363288770231844
slattice	10000	0.1	0.07	1000	785	785	788	0.785	0.785	0.788	0.142558152423474
sr	10000	0.1	0.07	1000	995	1000	132	0.995	1	0.132	0.0307321637361873
slattice	10000	0.1	0.08	1000	818	818	778	0.818	0.818	0.778	0.161644061480981
sr	10000	0.1	0.08	1000	996	1000	2	0.996	1	0.002	0.038852630785354
slattice	10000	0.1	0.09	1000	839	839	748	0.839	0.839	0.748	0.178640557574964
sr	10000	0.1	0.09	1000	1000	1000	1	1	1	0.001	0.0478540644875353
slattice	10000	0.1	0.1	1000	856	856	731	0.856	0.856	0.731	0.183683131420547
sr	10000	0.1	0.1	1000	1000	1000	4	1	1	0.004	0.057671041026062
bmws	10000	0.1	0.005	1000	0	0	0	0	0	0	0.0262883239235977
bmws	10000	0.1	0.01	1000	0	0	0	0	0	0	0.0177166863883177
bmws	10000	0.1	0.02	1000	0	0	0	0	0	0	0.0137974659345475
bmws	10000	0.1	0.03	1000	0	0	0	0	0	0	0.0145592514202826
bmws	10000	0.1	0.04	1000	0	0	0	0	0	0	0.012795364209705
bmws	10000	0.1	0	1000	0	0	1000	0	0	1	0.0449618998824338
bmws	10000	0.1	0.05	1000	0	0	0	0	0	0	0.0176598814967145
bmws	10000	0.1	0.06	1000	0	0	0	0	0	0	0.0277461374302442
bmws	10000	0.1	0.07	1000	0	0	0	0	0	0	0.0378738703283411
bmws	10000	0.1	0.08	1000	0	0	0	0	0	0	0.0521811029822483
bmws	10000	0.1	0.09	1000	0	0	0	0	0	0	0.062312927598244
bmws	10000	0.1	0.1	1000	0	0	0	0	0	0	0.0723524331628868
approxwf	10000	0.1	0.005	1000	7	33	964	0.007	0.033	0.964	0.00729771327682129
approxwf	10000	0.1	0.01	1000	55	227	966	0.055	0.227	0.966	0.00729039072488337
approxwf	10000	0.1	0.02	1000	727	878	986	0.727	0.878	0.986	0.00715380942755236
approxwf	10000	0.1	0.03	1000	968	982	989	0.968	0.982	0.989	0.00820797812311871
approxwf	10000	0.1	0.04	1000	982	996	994	0.982	0.996	0.994	0.0146912773755124
approxwf	10000	0.1	0	1000	42	0	958	0.042	0	0.958	0.00882171234007497
approxwf	10000	0.1	0.05	1000	990	995	998	0.99	0.995	0.998	0.0202333540743019
approxwf	10000	0.1	0.06	1000	985	990	995	0.985	0.99	0.995	0.0205767194479081
approxwf	10000	0.1	0.07	1000	987	987	998	0.987	0.987	0.998	0.0176299853028401
approxwf	10000	0.1	0.08	1000	976	977	997	0.976	0.977	0.997	0.0150132962137108
approxwf	10000	0.1	0.09	1000	975	975	1000	0.975	0.975	1	0.0157846788791367
approxwf	10000	0.1	0.1	1000	973	973	1000	0.973	0.973	1	0.0210401073617053
approxwf	10000	0.01	0.005	1000	19	0	966	0.019	0	0.966	0.0271274856860306
approxwf	10000	0.01	0.01	1000	3	1	951	0.003	0.001	0.951	0.0257061895053331
approxwf	10000	0.01	0.02	1000	50	187	930	0.05	0.187	0.93	0.018510903152896
approxwf	10000	0.01	0.03	1000	686	853	932	0.686	0.853	0.932	0.0132288707644672
approxwf	10000	0.01	0.04	1000	986	995	967	0.986	0.995	0.967	0.0121175866396143
approxwf	10000	0.01	0	1000	23	0	977	0.023	0	0.977	0.0277684938516254
approxwf	10000	0.01	0.05	1000	1000	1000	979	1	1	0.979	0.0118595583441027
approxwf	10000	0.01	0.06	1000	1000	1000	988	1	1	0.988	0.0131111344551336
approxwf	10000	0.01	0.07	1000	1000	1000	988	1	1	0.988	0.0156425605473718
approxwf	10000	0.01	0.08	1000	1000	1000	990	1	1	0.99	0.0187073636455693
approxwf	10000	0.01	0.09	1000	1000	1000	995	1	1	0.995	0.0235773339649088
approxwf	10000	0.01	0.1	1000	1000	1000	996	1	1	0.996	0.0282204835066385
sr	10000	0.01	0.005	1000	13	29	687	0.013	0.029	0.687	0.30331134211221
sr	10000	0.01	0.01	1000	32	93	342	0.032	0.093	0.342	0.454500960183162
sr	10000	0.01	0.02	1000	230	463	301	0.23	0.463	0.301	0.562932718848396
sr	10000	0.01	0.03	1000	738	956	240	0.738	0.956	0.24	0.267445365950407
sr	10000	0.01	0.04	1000	884	997	234	0.884	0.997	0.234	0.653331306736718
sr	10000	0.01	0	1000	3	18	790	0.003	0.018	0.79	0.260543803370108
sr	10000	0.01	0.05	1000	942	1000	311	0.942	1	0.311	0.76345038124951
sr	10000	0.01	0.06	1000	962	1000	381	0.962	1	0.381	0.109272885682287
sr	10000	0.01	0.07	1000	976	1000	313	0.976	1	0.313	0.0744643882929666
